,10,20,30,40,50,60,70,80,90,100
50,1.0128578703249347,1.183299732393119,1.3050854744738056,1.3867902554200022,1.450944249069025,1.5124250550046325,1.562821901837984,1.6115731126955213,1.65686282371149,1.6965370461501985
100,1.0188315319765042,1.1983680350003807,1.2955361471493199,1.3495998686528932,1.3930284184049502,1.431180550381293,1.4594458253099405,1.4916801223508849,1.5203468631511323,1.5441671821700524
150,1.0073047946767424,1.1936196547434075,1.2789881111387984,1.3165641120676213,1.341685498232569,1.3612323318939574,1.3792468083122869,1.4002123816899508,1.4178924388662661,1.4357433786891913
200,1.033194621237056,1.204074752672152,1.2823812287448217,1.3132321104630489,1.3262691385254546,1.3355412238458682,1.344931082013234,1.3556731056674478,1.3644791518797341,1.3754039586238331
